1	22	94
1	28	88
1	40	70
1	41	94
1	44	88
1	44	94
1	44	98
1	50	90
1	55	86
1	55	88
1	58	88
1	61	90
1	69	96
1	70	40
1	70	78
1	70	86
1	71	91
1	72	77
1	74	77
1	77	72
1	77	74
1	78	70
1	78	97
1	80	94
1	81	91
1	81	95
1	82	87
1	82	88
1	82	94
1	84	86
1	86	55
1	86	70
1	86	84
1	86	98
1	87	82
1	88	28
1	88	44
1	88	55
1	88	58
1	88	82
1	88	96
1	88	97
1	89	91
1	89	97
1	90	50
1	90	61
1	90	96
1	91	71
1	91	81
1	91	89
1	94	22
1	94	41
1	94	44
1	94	80
1	94	82
1	94	98
1	95	81
1	95	97
1	96	69
1	96	88
1	96	90
1	97	78
1	97	88
1	97	89
1	97	95
1	98	44
